Brand,Model,Price,Year,KM,City
Mercedes-Benz,E Serisi,3.275.000 TL,2020,105.000,Gaziantep/Şehitkamil
Toyota,Corolla,700.000 TL,2012,116.000,İstanbul/Pendik
Audi,A6,3.530.000 TL,2021,119.000,Gaziantep/Şehitkamil
Fiat,Egea,705.000 TL,2019,64.000,Afyonkarahisar/Merkez
Mercedes-Benz,C Serisi,1.485.000 TL,2018,154.100,Bursa/Osmangazi
Opel,Insignia,899.000 TL,2016,222.000,İstanbul/Esenyurt
Chevrolet,Cruze,525.000 TL,2012,211.000,İstanbul/Bakırköy
Opel,Astra,349.900 TL,2001,230.000,Tekirdağ/Çerkezköy
Mini,Cooper,1.820.000 TL,2023,10.942,Kütahya/Merkez
Toyota,Corolla,879.000 TL,2020,210.000,Gaziantep/Şehitkamil
Opel,Astra,649.999 TL,2015,178.000,Sakarya/Sapanca
Subaru,Impreza,535.000 TL,2010,229.000,Kocaeli/Gebze
BMW,3 Serisi,1.270.000 TL,2015,193.000,Aydın/Efeler
BMW,3 Serisi,1.350.000 TL,2016,255.000,Diyarbakır/Kayapınar
Hyundai,Elantra,915.000 TL,2021,221.000,İstanbul/Ümraniye
Audi,A5,1.100.000 TL,2010,224.000,Ankara/Çankaya
Volkswagen,Passat,1.150.000 TL,2015,168.500,İstanbul/Arnavutköy
Opel,Astra,495.750 TL,2011,267.000,Ankara/Pursaklar
Toyota,Corolla,952.900 TL,2020,137.000,İstanbul/Beylikdüzü
Volkswagen,Golf,1.082.900 TL,2022,74.000,İstanbul/Beylikdüzü
Renault,Megane,899.000 TL,2018,166.000,İstanbul/Esenyurt
Peugeot,308,1.500.000 TL,2023,25.000,Ankara/Polatlı
Audi,A6,2.525.000 TL,2016,129.500,Tokat/Erbaa
Hyundai,Accent Era,389.000 TL,2008,318.000,Malatya/Yeşilyurt
Opel,Astra,385.000 TL,2004,299.000,Malatya/Yeşilyurt
Renault,Megane,499.950 TL,2011,267.000,Ankara/Akyurt
Mini,Cooper,735.000 TL,2009,137.500,İstanbul/Şişli
Honda,Civic,1.397.500 TL,2020,78.000,Antalya/Kumluca
BMW,3 Serisi,1.650.000 TL,2013,130.000,Gaziantep/Şehitkamil
Mercedes-Benz,C Serisi,3.120.000 TL,2022,53.000,Osmaniye/Düziçi
Fiat,Egea,695.000 TL,2022,35.000,Zonguldak/Merkez
Fiat,Egea,779.500 TL,2020,125.000,İstanbul/Esenyurt
Renault,Modus,335.000 TL,2006,220.000,Ankara/Çubuk
Volkswagen,Bora,245.000 TL,2000,315.000,İstanbul/Güngören
BMW,5 Serisi,2.950.000 TL,2020,83.000,Antalya/Serik
Hyundai,i10,548.500 TL,2017,94.000,İstanbul/Beykoz
Volkswagen,Polo,1.370.000 TL,2023,21.000,Eskişehir/Odunpazarı
Volkswagen,Polo,710.000 TL,2014,177.000,Kırıkkale/Yahşihan
Volkswagen,Polo,710.000 TL,2014,177.000,Kırıkkale/Yahşihan
Mercedes-Benz,E Serisi,3.500.000 TL,2020,61.000,İstanbul/Maltepe
Mini,Cooper,1.285.000 TL,2013,79.000,İstanbul/Silivri
BMW,4 Serisi,3.660.000 TL,2023,25.000,İstanbul/Kadıköy
Volkswagen,Polo,899.500 TL,2021,128.410,İstanbul/Ataşehir
Citroen,C-Elysée,644.500 TL,2021,124.308,İstanbul/Ataşehir
Peugeot,308,880.000 TL,2020,170.000,İstanbul/Esenyurt
Fiat,Egea,584.500 TL,2017,154.000,İstanbul/Ataşehir
Fiat,Linea,325.000 TL,2008,309.000,Ankara/Çubuk
Renault,Clio,979.500 TL,2023,36.353,İstanbul/Ataşehir
Mercedes-Benz,E Serisi,2.395.000 TL,2017,125.000,İstanbul/Başakşehir
Renault,Megane,305.000 TL,2006,230.000,Kocaeli/Gebze
Audi,A3,825.000 TL,2011,216.000,Ankara/Altındağ
Renault,Symbol,647.500 TL,2019,122.976,İstanbul/Ataşehir
Fiat,Egea,700.000 TL,2020,200.000,İstanbul/Esenyurt
Hyundai,Elantra,260.900 TL,2004,385.000,İzmir/Gaziemir
Renault,Megane,925.000 TL,2020,186.000,İstanbul/Bağcılar
Fiat,Palio,285.000 TL,2005,220.000,Trabzon/Ortahisar
Audi,A4,829.000 TL,2012,336.900,Konya/Selçuklu
Volkswagen,Passat,1.339.000 TL,2017,91.000,İstanbul/Sultangazi
Toyota,Corolla,839.000 TL,2018,165.000,İstanbul/Ümraniye
Fiat,500 Ailesi,455.750 TL,2015,209.000,İstanbul/Sultangazi
BMW,3 Serisi,1.135.000 TL,2014,277.800,Gaziantep/Şehitkamil
Renault,Megane,1.345.000 TL,2023,29.000,Kocaeli/Körfez
Volkswagen,Passat,839.500 TL,2013,168.000,İstanbul/Ataşehir
Renault,Clio,465.000 TL,2013,205.000,Antalya/Alanya
BMW,5 Serisi,1.568.000 TL,2016,127.500,İstanbul/Küçükçekmece
Fiat,Linea,487.500 TL,2015,197.000,Tekirdağ/Muratlı
Honda,Civic,1.199.900 TL,2018,95.850,İstanbul/Maltepe
Volkswagen,Passat Variant,1.530.000 TL,2021,63.000,İstanbul/Beşiktaş
Fiat,Egea,597.500 TL,2017,182.000,Denizli/Pamukkale
Volkswagen,Golf,1.195.000 TL,2019,112.000,İstanbul/Silivri
Fiat,Punto,375.000 TL,2007,251.000,Tekirdağ/Muratlı
BMW,5 Serisi,1.299.900 TL,2014,265.000,Ağrı/Patnos
Volkswagen,Passat,1.210.000 TL,2016,167.000,İstanbul/Bahçelievler
Hyundai,Elantra,385.000 TL,2005,340.000,Kahramanmaraş/Onikişubat
Toyota,Corolla,1.048.750 TL,2021,113.000,İstanbul/Kartal
Renault,Clio,549.000 TL,2018,184.000,İstanbul/Ümraniye
Honda,Civic,1.325.000 TL,2020,124.000,Denizli/Sarayköy
Mercedes-Benz,E Serisi,5.515.000 TL,2024,6.001,İzmir/Gaziemir
Volkswagen,Passat,1.360.000 TL,2017,144.600,Amasya/Merzifon
Renault,Megane,735.000 TL,2017,255.000,Ankara/Mamak
Fiat,Egea,619.000 TL,2016,149.000,Ankara/Keçiören
Honda,Civic,567.000 TL,2008,300.000,Kocaeli/Körfez
Opel,Astra,615.000 TL,2012,114.000,İstanbul/Pendik
Ford,Focus,495.000 TL,2005,235.000,Ankara/Yenimahalle
Mini,Cooper,1.080.000 TL,2017,93.000,Kütahya/Tavşanlı
Mercedes-Benz,C Serisi,1.495.000 TL,2016,199.000,İzmir/Buca
Hyundai,i20,619.000 TL,2015,190.000,Kocaeli/Gölcük
Ford,Focus,912.750 TL,2017,118.000,Mersin/Toroslar
BMW,5 Serisi,2.180.000 TL,2017,132.000,Ankara/Akyurt
Peugeot,208,660.000 TL,2014,84.000,İzmir/Aliağa
BMW,3 Serisi,1.345.000 TL,2016,230.000,Adana/Seyhan
Citroen,C5,655.000 TL,2012,230.000,Eskişehir/Odunpazarı
BMW,5 Serisi,1.545.000 TL,2012,238.000,Tekirdağ/Çorlu
Seat,Leon,1.159.999 TL,2019,140.000,İstanbul/Üsküdar
Renault,Clio,649.000 TL,2017,177.000,İstanbul/Beylikdüzü
Volkswagen,Passat,1.195.000 TL,2018,188.000,Isparta/Eğirdir
Peugeot,301,428.750 TL,2012,249.000,Kocaeli/Gebze
